Vanity,Destination Page URL (Final)
canada.ca/line-48350,en/revenue-agency/services/tax/individuals/topics/about-your-tax-return/tax-return/completing-a-tax-return/deductions-credits-expenses/deductions-credits-expenses/subtotal-return.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_line-43850
canada.ca/employe-travailleur-independant,http://canada.ca/fr/agence-revenu/services/impot/decisions-concernant-regime-pensions-canada-rpc-assurance-emploi-ae/employe-travailleur-independant.html?utm_campaign=cra-arc-employment-emploi-25-26&utm_medium=vanity-url&utm_source=canada-ca_employe-travailleur-independant
canada.ca/employetravailleurindependant,http://canada.ca/fr/agence-revenu/services/impot/decisions-concernant-regime-pensions-canada-rpc-assurance-emploi-ae/employe-travailleur-independant.html?utm_campaign=cra-arc-employment-emploi-25-26&utm_medium=vanity-url&utm_source=canada-ca_employetravailleurindependant
canada.ca/cour-federale,http://cas-cdc-www02.cas-satj.gc.ca/fct-cf/
canada.ca/federal-court,http://cas-cdc-www02.cas-satj.gc.ca/fct-cf/ 
canada.ca/cra-serving-you-better,http://www.canada.ca/en/revenue-agency/campaigns/consultations-small-med-businesses.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_cra-serving-you-better
canada.ca/employeeselfemployed,http://www.canada.ca/en/revenue-agency/services/tax/canada-pension-plan-cpp-employment-insurance-ei-rulings/employee-self-employed.html?utm_campaign=cra-arc-employment-emploi-25-26&utm_medium=vanity-url&utm_source=canada-ca_employeeselfemployed
canada.ca/employee-self-employed,http://www.canada.ca/en/revenue-agency/services/tax/canada-pension-plan-cpp-employment-insurance-ei-rulings/employee-self-employed.html?utm_campaign=cra-arc-employment-emploi-25-26&utm_medium=vanity-url&utm_source=canada-ca_employee-self-employed
canada.ca/cbsa-payments,http://www.cbsa-asfc.gc.ca/prog/arl-glcc/pay-paie-eng.html
canada.ca/asfc-paiements,http://www.cbsa-asfc.gc.ca/prog/arl-glcc/pay-paie-fra.html
canada.ca/guide-taxes-online-mail,http://www.cra-arc.gc.ca/esrvc-srvce/tx/ndvdls/nlnml-eng.html
canada.ca/guide-impots-courrier-en-ligne,http://www.cra-arc.gc.ca/esrvc-srvce/tx/ndvdls/nlnml-fra.html
canada.ca/paiement,http://www.cra-arc.gc.ca/mkpymnt-fra.html
canada.ca/cra-pier,http://www.cra-arc.gc.ca/tx/bsnss/tpcs/pyrll/clcltng/cpp-rpc/pr-eng.html
canada.ca/arc-rgap,http://www.cra-arc.gc.ca/tx/bsnss/tpcs/pyrll/clcltng/cpp-rpc/pr-fra.html
canada.ca/business-expenses,http://www.cra-arc.gc.ca/tx/bsnss/tpcs/slprtnr/rprtng/t2125/p13-eng.html
canada.ca/depenses-entreprise,http://www.cra-arc.gc.ca/tx/bsnss/tpcs/slprtnr/rprtng/t2125/p13-fra.html
canada.ca/cra-tax-instalments,http://www.cra-arc.gc.ca/tx/ndvdls/tpcs/ncm-tx/pymnts/nstlmnts/menu-eng.html
canada.ca/crataxinstalments,http://www.cra-arc.gc.ca/tx/ndvdls/tpcs/ncm-tx/pymnts/nstlmnts/menu-eng.html
canada.ca/get-cra-forms,https://apps.cra-arc.gc.ca/ebci/cjcf/fpos-scfp/pub/rdr?request_locale=en_CA
canada.ca/obtenir-formulaire-arc,https://apps.cra-arc.gc.ca/ebci/cjcf/fpos-scfp/pub/rdr?request_locale=fr_CA
canada.ca/charities-list,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=en
canada.ca/organismes-bienfaisance-liste,https://apps.cra-arc.gc.ca/ebci/hacc/srch/pub/dsplyBscSrch?request_locale=fr
canada.ca/arc-besoin-aide,https://apps.cra-arc.gc.ca/ebci/iesl/showClickToTalkForm.action
canada.ca/cra-need-assistance,https://apps.cra-arc.gc.ca/ebci/iesl/showClickToTalkForm.action 
canada.ca/craneedassistance,https://apps.cra-arc.gc.ca/ebci/iesl/showClickToTalkForm.action 
canada.ca/arcbesoinaide,https://apps.cra-arc.gc.ca/ebci/iesl/showClickToTalkForm.action   
canada.ca/cra-internet-file-transfer,https://apps.cra-arc.gc.ca/ebci/leb0/upload/pub/disclaimer.action?request_locale=en 
canada.ca/crainternetfiletransfer,https://apps.cra-arc.gc.ca/ebci/leb0/upload/pub/disclaimer.action?request_locale=en 
canada.ca/arc-transfer-fichiers-internet,https://apps.cra-arc.gc.ca/ebci/leb0/upload/pub/disclaimer.action?request_locale=fr 
canada.ca/arctransferfichiersinternet,https://apps.cra-arc.gc.ca/ebci/leb0/upload/pub/disclaimer.action?request_locale=fr 
canada.ca/cra-web-forms,https://apps.cra-arc.gc.ca/ebci/leb0/webform/pub/disclaimer.action?request_locale=en 
canada.ca/crawebforms,https://apps.cra-arc.gc.ca/ebci/leb0/webform/pub/disclaimer.action?request_locale=en 
canada.ca/arcformulairesweb,https://apps.cra-arc.gc.ca/ebci/leb0/webform/pub/disclaimer.action?request_locale=fr
canada.ca/arc-formulaires-web,https://apps.cra-arc.gc.ca/ebci/leb0/webform/pub/disclaimer.action?request_locale=fr
canada.ca/find-tax-clinics,https://apps.cra-arc.gc.ca/ebci/oecv/external/prot/startClinicSearch.action?request_locale=en_CA
canada.ca/findtaxclinics,https://apps.cra-arc.gc.ca/ebci/oecv/external/prot/startClinicSearch.action?request_locale=en_CA
canada.ca/trouvez-comptoir-impots,https://apps.cra-arc.gc.ca/ebci/oecv/external/prot/startClinicSearch.action?request_locale=fr_CA
canada.ca/trouvezcomptoirimpots,https://apps.cra-arc.gc.ca/ebci/oecv/external/prot/startClinicSearch.action?request_locale=fr_CA
canada.ca/dtc-digital-application,https://apps.cra-arc.gc.ca/ebci/uisp/dtc/entry?request_locale=en
canada.ca/dtcdigitalapplication,https://apps.cra-arc.gc.ca/ebci/uisp/dtc/entry?request_locale=en
canada.ca/demande-numerique-ciph,https://apps.cra-arc.gc.ca/ebci/uisp/dtc/entry?request_locale=fr
canada.ca/demandenumeriqueciph,https://apps.cra-arc.gc.ca/ebci/uisp/dtc/entry?request_locale=fr
canada.ca/simplefiledigital,https://apps.cra-arc.gc.ca/ebci/uisp/simplefile/2025/digital/en?utm_campaign=cra-arc-sfdigital-dspvnumerique-25-26&utm_medium=vanity-url&utm_source=canada-ca_simplefiledigital
canada.ca/simplefile-digital,https://apps.cra-arc.gc.ca/ebci/uisp/simplefile/2025/digital/en?utm_campaign=cra-arc-sfdigital-dspvnumerique-25-26&utm_medium=vanity-url&utm_source=canada-ca_simplefile-digital
canada.ca/declarersimplementparvoienumerique,https://apps.cra-arc.gc.ca/ebci/uisp/simplefile/2025/digital/fr?utm_campaign=cra-arc-sfdigital-dspvnumerique-25-26&utm_medium=vanity-url&utm_source=canada-ca_declarersimplementparvoienumerique
canada.ca/declarer-simplement-par-voie-numerique,https://apps.cra-arc.gc.ca/ebci/uisp/simplefile/2025/digital/fr?utm_campaign=cra-arc-sfdigital-dspvnumerique-25-26&utm_medium=vanity-url&utm_source=canada-ca_declarer-simplement-par-voie-numerique
canada.ca/cra-tell-us-once,https://canada.ca/en/revenue-agency/campaigns/new-service-cpp.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_cra-tell-us-once
canada.ca/support-canadian-journalism,https://canada.ca/en/revenue-agency/campaigns/support-canadian-journalism.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_support-canadian-journalism
canada.ca/taxes-problem-resolution-program-support,https://canada.ca/en/revenue-agency/campaigns/support-members-parliament-constituency.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_taxes-problem-resolution-program-support
canada.ca/ccrestimatortool,https://canada.ca/en/revenue-agency/services/child-family-benefits/cai-payment/how-much.html?utm_campaign=cra-arc-ccr-rcc-estimator-estimation-24-25&utm_medium=vanity-url&utm_source=canada-ca_ccrestimatortool
canada.ca/ccr-estimator-tool,https://canada.ca/en/revenue-agency/services/child-family-benefits/cai-payment/how-much.html?utm_campaign=cra-arc-ccr-rcc-estimator-estimation-24-25&utm_medium=vanity-url&utm_source=canada-ca_ccr-estimator-tool
canada.ca/journalism-labour-tax-credit,https://canada.ca/en/revenue-agency/services/tax/businesses/topics/corporations/business-tax-credits/canadian-journalism-labour-tax-credit.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_journalism-labour-tax-credit
canada.ca/cradeemedresidents,https://canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/deemed-residents.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_cradeemedresidents
canada.ca/cra-deemed-residents,https://canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/deemed-residents.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_cra-deemed-residents
canada.ca/arc-reprise-activites,https://canada.ca/fr/agence-revenu/campagnes/mise-a-jour-covid-19/covid-19-reprise-activites-operationnelles.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_arc-reprise-activites
canada.ca/arc-une-fois-suffit,https://canada.ca/fr/agence-revenu/campagnes/nouveau-service-rpc.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_arc-une-fois-suffit
canada.ca/impots-programme-solution-probleme-soutien,https://canada.ca/fr/agence-revenu/campagnes/soutien-deputes-circonscriptions.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_impots-programme-solution-probleme-soutien
canada.ca/soutien-journalisme-canadien,https://canada.ca/fr/agence-revenu/campagnes/soutien-journalisme-canadien.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_soutien-journalisme-canadien
canada.ca/retenues-paie,https://canada.ca/fr/agence-revenu/services/impot/entreprises/sujets/retenues-paie.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_retenues-paie
canada.ca/pilote-entreprise-prestation-services-personnels,https://canada.ca/fr/agence-revenu/services/impot/entreprises/sujets/societes/declaration-revenus-societes/pilote-entreprise-services-personne.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_pilote-entreprise-prestation-services-personnels
canada.ca/piloteentrepriseprestationservicespersonnels,https://canada.ca/fr/agence-revenu/services/impot/entreprises/sujets/societes/declaration-revenus-societes/pilote-entreprise-services-personne.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_piloteentrepriseprestationservicespersonnels
canada.ca/tps-tvh-lieu-fourniture,https://canada.ca/fr/agence-revenu/services/impot/entreprises/sujets/tps-tvh-entreprises/facturer-percevoir-lieu-fourniture.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_tps-tvh-lieu-fourniture
canada.ca/arcresidentsreputes,https://canada.ca/fr/agence-revenu/services/impot/impot-international-non-residents/particuliers-depart-canada-entree-canada-non-residents/residents-reputes.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_arcresidentsreputes
canada.ca/arc-residents-reputes,https://canada.ca/fr/agence-revenu/services/impot/impot-international-non-residents/particuliers-depart-canada-entree-canada-non-residents/residents-reputes.html?utm_campaign=not-applicable&utm_medium=vanity-url&utm_source=canada-ca_arc-residents-reputes
canada.ca/rccoutilestimation,https://canada.ca/fr/agence-revenu/services/prestations-enfants-familles/paiement-cai/combien-obtenir.html?utm_campaign=cra-arc-ccr-rcc-estimator-estimation-24-25&utm_medium=vanity-url&utm_source=canada-ca_rccoutilestimation
canada.ca/rcc-outil-estimation,https://canada.ca/fr/agence-revenu/services/prestations-enfants-familles/paiement-cai/combien-obtenir.html?utm_campaign=cra-arc-ccr-rcc-estimator-estimation-24-25&utm_medium=vanity-url&utm_source=canada-ca_rcc-outil-estimation
canada.ca/arc-evenement-inscription,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=3863BB41B6A41ED9AFA740C2BB41EBD2&request_locale=fr_CA&rtrnlnk=&utm_source=rss&utm_medium=email&utm_campaign=UTM_cracareersFR&utm_content=2019-08-28_0002
canada.ca/cra-event-register,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=3863BB41B6A41ED9AFA740C2BB41EBD2&utm_source=rss&utm_medium=email&utm_campaign=UTM_cracareers&utm_content=2019-08-28_0001
canada.ca/research-technology-advisor,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=D06726B228B81EDCB89A8B2453B20100
canada.ca/researchtechnologyadvisor,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=D06726B228B81EDCB89A8B2453B20100
canada.ca/conseiller-recherche-technologie,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=D06726B228B81EDCB89A8B2453B20100&request_locale=fr_CA&rtrnlnk=
canada.ca/conseillerrecherchetechnologie,https://careers-carrieres.cra-arc.gc.ca/gol-ged/wcis/pub/rtrvjbpst.action?pi=D06726B228B81EDCB89A8B2453B20100&request_locale=fr_CA&rtrnlnk=
canada.ca/certifiedinstitutions,https://certification.esdc.gc.ca/lea-mcl/h.4m.2@-eng.jsp?utm_campaign=cra-arc-education-educatif-24-25&utm_medium=vanity-url&utm_source=canada-ca_certifiedinstitutions
canada.ca/certified-institutions,https://certification.esdc.gc.ca/lea-mcl/h.4m.2@-eng.jsp?utm_campaign=cra-arc-education-educatif-24-25&utm_medium=vanity-url&utm_source=canada-ca_certified-institutions
canada.ca/etablissementsagrees,https://certification.esdc.gc.ca/lea-mcl/h.4m.2@-fra.jsp?utm_campaign=cra-arc-education-educatif-24-25&utm_medium=vanity-url&utm_source=canada-ca_etablissementsagrees
canada.ca/etablissements-agrees,https://certification.esdc.gc.ca/lea-mcl/h.4m.2@-fra.jsp?utm_campaign=cra-arc-education-educatif-24-25&utm_medium=vanity-url&utm_source=canada-ca_etablissements-agrees
canada.ca/assisted-compliance-survey,https://cra-arc-survey-sondage.ca/f/l/assisted-compliance-observation-assistee
canada.ca/assistedcompliancesurvey,https://cra-arc-survey-sondage.ca/f/l/assisted-compliance-observation-assistee
canada.ca/sondage-observation-assistee,https://cra-arc-survey-sondage.ca/f/l/assisted-compliance-observation-assistee?lang=FR
canada.ca/sondageobservationassistee,https://cra-arc-survey-sondage.ca/f/l/assisted-compliance-observation-assistee?lang=FR
canada.ca/arc-oppositions-sondage,https://cra-arc-survey-sondage.ca/f/l/testobj?lang=FR
canada.ca/cra-objections-survey-2,https://cra-arc-survey-sondage.ca/f/l/testobj2
canada.ca/cra-guide-feedback,https://cra-arc-survey-sondage.ca/f/s.aspx?s=01ee6202-52e7-4c03-b3a6-849fb8f36b3a&lang=EN
canada.ca/arc-guide-commentaires,https://cra-arc-survey-sondage.ca/f/s.aspx?s=01ee6202-52e7-4c03-b3a6-849fb8f36b3a&lang=FR
canada.ca/dtc-survey,https://cra-arc-survey-sondage.ca/f/s.aspx?s=5296b33e-7a30-4f1d-9f9d-729736291436&lang=EN
canada.ca/sondage-ciph,https://cra-arc-survey-sondage.ca/f/s.aspx?s=5296b33e-7a30-4f1d-9f9d-729736291436&lang=FR
canada.ca/cra-objections-survey,https://cra-arc-survey-sondage.ca/f/s.aspx?s=b9b35ce5-e729-48ed-bea5-7f97cb10d368    
canada.ca/arcretroactionvisibilite,https://cra-arc-survey-sondage.ca/f/s.aspx?s=bbe2eb79-015e-4bfb-9f14-cb8b098459bf&lang=FR?utm_campaign=cra-arc-outreach-visibilite-24-25&utm_medium=vanity-url&utm_source=canada-ca_arcretroactionvisibilite
canada.ca/arc-retroaction-visibilite,https://cra-arc-survey-sondage.ca/f/s.aspx?s=bbe2eb79-015e-4bfb-9f14-cb8b098459bf&lang=FR?utm_campaign=cra-arc-outreach-visibilite-24-25&utm_medium=vanity-url&utm_source=canada-ca_arc-retroaction-visibilite
canada.ca/craoutreachfeedback,https://cra-arc-survey-sondage.ca/f/s.aspx?s=bbe2eb79-015e-4bfb-9f14-cb8b098459bf?utm_campaign=cra-arc-outreach-visibilite-24-25&utm_medium=vanity-url&utm_source=canada-ca_craoutreachfeedback
canada.ca/cra-outreach-feedback,https://cra-arc-survey-sondage.ca/f/s.aspx?s=bbe2eb79-015e-4bfb-9f14-cb8b098459bf?utm_campaign=cra-arc-outreach-visibilite-24-25&utm_medium=vanity-url&utm_source=canada-ca_cra-outreach-feedback
canada.ca/arc-oppositions-sondage-2,https://cra-arc-survey-sondage.ca/f/s.aspx?s=C2780EEC-B389-4EB2-87AF-E0CDB0771462&lang=FR
canada.ca/participerrechercheutilisabilite,https://forms.office.com/pages/responsepage.aspx?id=RljVnoGKRkKs2LGgGr_A0SeIz1StYm5Bl_3nqMi6Y7BUOERMMzNSTTlSR08wOERYWjFHSTM2NU1QRyQlQCN0PWcu&route=shorturl?utm_campaign=esdc-edsc-cxosur-bcesond-26&utm_medium=vanity-url&utm_source=canada-ca_participerrechercheutilisabilite
canada.ca/20242025grantscontributions,https://open.canada.ca/data/en/dataset/9dd8056a-7c4c-4b4f-af98-80b01af6f010/resource/a30ba7b2-cd95-49c5-b63b-a004f492ff14?utm_campaign=cra-arc-sred-rsde-25-26&utm_medium=vanity-url&utm_source=canada-ca_20242025grantscontributions
canada.ca/2024-2025-grants-contributions,https://open.canada.ca/data/en/dataset/9dd8056a-7c4c-4b4f-af98-80b01af6f010/resource/a30ba7b2-cd95-49c5-b63b-a004f492ff14?utm_campaign=cra-arc-sred-rsde-25-26&utm_medium=vanity-url&utm_source=canada-ca_2024-2025-grants-contributions
canada.ca/20242025subventionscontributions,https://ouvert.canada.ca/data/fr/dataset/9dd8056a-7c4c-4b4f-af98-80b01af6f010/resource/a30ba7b2-cd95-49c5-b63b-a004f492ff14?utm_campaign=cra-arc-sred-rsde-25-26&utm_medium=vanity-url&utm_source=canada-ca_20242025subventionscontributions
canada.ca/2024-2025-subventions-contributions,https://ouvert.canada.ca/data/fr/dataset/9dd8056a-7c4c-4b4f-af98-80b01af6f010/resource/a30ba7b2-cd95-49c5-b63b-a004f492ff14?utm_campaign=cra-arc-sred-rsde-25-26&utm_medium=vanity-url&utm_source=canada-ca_2024-2025-subventions-contributions
